"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"120","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 16:59:02,FALSE,NA,"1199009612327870470",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tasha__2o1o",200,TRUE,FALSE,NA,NA
"121","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 16:58:31,FALSE,NA,"1199009479209050112",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Real_opinion",200,TRUE,FALSE,NA,NA
"122","RT @PawanKalyan: My heartfelt Congratulations! to 
‘India Ahead’ channel.Wishing you very best.

On most important day in Indian History -…",FALSE,0,NA,2019-11-25 16:58:20,FALSE,NA,"1199009435013697537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KVardhineedi",2745,TRUE,FALSE,NA,NA
"123","RT @sdtiwari: Sunni Waqf Board lawyer Zafaryab Jilani has said that Ayodhya verdict is against Sharia law

Earlier, Ex Vice President Hamid…",FALSE,0,NA,2019-11-25 16:57:37,FALSE,NA,"1199009253903630336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amitwip",28,TRUE,FALSE,NA,NA
"124","RT @AskAnshul: Sunni Waqf Board lawyer Zafaryab Jilani has said that Ayodhya verdict is against Sharia law

Earlier, Ex Vice President Hami…",FALSE,0,NA,2019-11-25 16:56:32,FALSE,NA,"1199008981366136832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gowthamvaddi003",5298,TRUE,FALSE,NA,NA
"125","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 16:55:44,FALSE,NA,"1199008782489010177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JamirSayyad8",200,TRUE,FALSE,NA,NA
"126","This man is busy doing what a political leader should. Inspire ideas. 
Others though are still stuck on opposition… https://t.co/jPYxCYWs8r",FALSE,1,NA,2019-11-25 16:53:48,TRUE,NA,"1199008296083972097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lazy_mutant",0,FALSE,FALSE,NA,NA
"127","RT @AskAnshul: Sunni Waqf Board lawyer Zafaryab Jilani has said that Ayodhya verdict is against Sharia law

Earlier, Ex Vice President Hami…",FALSE,0,NA,2019-11-25 16:52:32,FALSE,NA,"1199007975307796485",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mera_bharatdesh",5298,TRUE,FALSE,NA,NA
"128","#MannKiBaat
 Ayodhya verdict, @narendramodi appreciated how country has moved ahead on a new path, with a new resol… https://t.co/pZ7AJeV3mO",FALSE,1,NA,2019-11-25 16:49:54,TRUE,NA,"1199007312330903553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dhaneshjoshi_",0,FALSE,FALSE,NA,NA
"129","RT @alap030193: @shankar2483 @v2l2b2 @LillyMaryPinto Also no mentioned of his name in Ayodhya verdict pages. Otherwise nanga naanch hota ag…",FALSE,0,NA,2019-11-25 16:49:35,FALSE,NA,"1199007231586553857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","v2l2b2",1,TRUE,FALSE,NA,NA
"130","RT @narendramodi_in: #MannKiBaat: PM @narendramodi thanks people for 'spirit of unity' after Ayodhya verdict
https://t.co/NqafzdPnI9 

via…",FALSE,0,NA,2019-11-25 16:49:17,FALSE,NA,"1199007158484045825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aarna17",36,TRUE,FALSE,NA,NA
"131","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 16:47:54,FALSE,NA,"1199006808997793793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ajju51404312",200,TRUE,FALSE,NA,NA
"132","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 16:47:23,FALSE,NA,"1199006679934754817",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","soter8",200,TRUE,FALSE,NA,NA
"133","RT @AskAnshul: Sunni Waqf Board lawyer Zafaryab Jilani has said that Ayodhya verdict is against Sharia law

Earlier, Ex Vice President Hami…",FALSE,0,NA,2019-11-25 16:47:10,FALSE,NA,"1199006624683188224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ADKhare2",5298,TRUE,FALSE,NA,NA
"134","Sources say - SC may allow BJP to form govt in Maharashtra. Opposition may be given 5 acre land to form govt somewh… https://t.co/uBQik0d52h",FALSE,0,NA,2019-11-25 16:46:16,TRUE,NA,"1199006399918772225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nidhik20",0,FALSE,FALSE,NA,NA
